X, Y, Z, alpha, gamma, beta, activity,test
-0.1787109375,0.032958984375,-0.632080078125,-21.91162109375,-25.238037109375,24.169921875, 1, 2 
-0.2275390625,-0.051513671875,-0.713623046875,-11.627197265625,-6.89697265625,19.83642578125, 1, 2 
-0.302978515625,-0.0244140625,-0.8779296875,-5.157470703125,8.97216796875,18.24951171875, 1, 2 
-0.24755859375,0.05517578125,-0.99072265625,0.274658203125,8.7890625,14.984130859375, 1, 2 
-0.181884765625,0.06982421875,-0.9892578125,8.11767578125,-0.396728515625,7.75146484375, 1, 2 
-0.200439453125,0.0888671875,-1.069580078125,13.763427734375,-4.302978515625,-0.42724609375, 1, 2 
-0.273193359375,0.0107421875,-1.34375,-16.90673828125,-19.04296875,1.40380859375, 1, 2 
-0.318115234375,-0.10595703125,-1.23095703125,-37.17041015625,-34.759521484375,14.5263671875, 1, 2 
-0.28271484375,-0.034423828125,-1.277587890625,-19.378662109375,-33.935546875,20.263671875, 1, 2 
-0.152587890625,0.29443359375,-1.514404296875,-31.1279296875,-39.825439453125,3.936767578125, 1, 2 
-0.42822265625,0.36376953125,-1.1630859375,-31.43310546875,-34.423828125,-7.32421875, 1, 2 
-0.564208984375,0.31298828125,-1.0361328125,-12.0849609375,-17.364501953125,-0.091552734375, 1, 2 
-0.43896484375,0.387451171875,-0.774169921875,23.49853515625,15.411376953125,1.5869140625, 1, 2 
-0.191650390625,0.439208984375,-0.862060546875,55.2978515625,43.45703125,-14.09912109375, 1, 2 
-0.12744140625,0.33984375,-1.067138671875,35.33935546875,39.215087890625,-23.895263671875, 1, 2 
-0.1416015625,0.271484375,-0.982421875,-8.758544921875,27.16064453125,-16.815185546875, 1, 2 
-0.12060546875,0.22119140625,-0.8232421875,-26.7333984375,26.85546875,-9.307861328125, 1, 2 
-0.166015625,0.1923828125,-0.744384765625,-6.805419921875,39.215087890625,-6.9580078125, 1, 2 
-0.201904296875,0.2275390625,-0.908203125,-4.69970703125,53.52783203125,-9.521484375, 1, 2 
-0.188720703125,0.163818359375,-0.91943359375,-16.29638671875,61.126708984375,-7.781982421875, 1, 2 
-0.03759765625,0.120849609375,-0.7431640625,-16.54052734375,62.56103515625,-4.94384765625, 1, 2 
0.082275390625,0.1416015625,-0.632080078125,-10.1318359375,60.546875,-12.02392578125, 1, 2 
0.138427734375,0.154296875,-0.6396484375,-17.059326171875,51.20849609375,-18.035888671875, 1, 2 
0.021728515625,0.1396484375,-0.729248046875,-29.35791015625,35.369873046875,-27.191162109375, 1, 2 
-0.02001953125,0.104736328125,-0.668212890625,-33.843994140625,21.1181640625,-25.054931640625, 1, 2 
-0.018310546875,0.10693359375,-0.72265625,-31.3720703125,12.0849609375,-19.83642578125, 1, 2 
0.022216796875,0.12890625,-0.748291015625,-29.052734375,8.819580078125,-20.69091796875, 1, 2 
0.0576171875,0.13232421875,-0.7353515625,-14.373779296875,6.866455078125,-22.613525390625, 1, 2 
0.071044921875,0.080322265625,-0.79150390625,8.209228515625,2.044677734375,-22.88818359375, 1, 2 
0.030029296875,0.02587890625,-0.906005859375,26.885986328125,-3.96728515625,-19.95849609375, 1, 2 
-0.02783203125,0.05615234375,-1.028076171875,34.820556640625,-2.777099609375,-13.916015625, 1, 2 
-0.038818359375,0.1669921875,-1.078125,39.306640625,7.415771484375,-8.6669921875, 1, 2 
-0.03759765625,0.144775390625,-1.147705078125,28.839111328125,18.5546875,-0.9765625, 1, 2 
0.0048828125,0.074951171875,-1.270263671875,-0.6103515625,25.0244140625,2.86865234375, 1, 2 
-0.05712890625,0.007080078125,-1.340087890625,-26.91650390625,33.75244140625,6.591796875, 1, 2 
-0.08935546875,0.133056640625,-1.552001953125,-40.58837890625,45.806884765625,9.857177734375, 1, 2 
-0.02783203125,0.176025390625,-1.544677734375,-63.5986328125,37.261962890625,14.556884765625, 1, 2 
0.157470703125,0.26611328125,-1.258544921875,-45.745849609375,26.824951171875,7.598876953125, 1, 2 
0.298583984375,0.246337890625,-1.0419921875,8.819580078125,11.199951171875,-7.26318359375, 1, 2 
0.143310546875,0.242919921875,-0.802001953125,71.1669921875,-11.04736328125,-10.92529296875, 1, 2 
0.071044921875,0.321044921875,-0.76953125,123.779296875,-21.1181640625,-5.462646484375, 1, 2 
0.045166015625,0.306396484375,-0.92236328125,120.42236328125,-24.932861328125,-5.31005859375, 1, 2 
0.001953125,0.23193359375,-1.1103515625,54.931640625,-17.913818359375,-10.772705078125, 1, 2 
-0.027099609375,0.102783203125,-1.179443359375,-22.491455078125,-21.759033203125,-8.544921875, 1, 2 
-0.0244140625,0.128662109375,-0.919677734375,-55.145263671875,-36.1328125,8.36181640625, 1, 2 
0.029052734375,0.197265625,-0.972900390625,-71.136474609375,-50.018310546875,22.52197265625, 1, 2 
-0.131591796875,0.290771484375,-0.874267578125,-80.657958984375,-52.947998046875,28.533935546875, 1, 2 
-0.20458984375,0.1953125,-0.79150390625,-68.90869140625,-43.792724609375,39.6728515625, 1, 2 
-0.15673828125,0.171875,-0.7177734375,-58.135986328125,-36.19384765625,45.135498046875, 1, 2 
-0.100341796875,0.2021484375,-0.57080078125,-32.379150390625,-32.65380859375,40.191650390625, 1, 2 
-0.04736328125,0.158203125,-0.58837890625,-12.908935546875,-35.980224609375,32.470703125, 1, 2 
-0.025390625,0.1845703125,-0.6015625,-2.0751953125,-42.17529296875,25.360107421875, 1, 2 
